Date,rolling_mean,realized_vol,skewness,kurtosis,vix_level,vix_change,vix_spread,corr_sp500_vix
1993-12-10,0.00016245147066082174,0.07151653424412441,-0.19605553911042503,0.6899466404544374,12.600000381469728,0.013676594699934208,0.05448346957057287,-0.2821724375228494
1993-12-13,0.00024769890632640176,0.0718352021962937,-0.24093513296859612,0.6481169775583924,10.979999542236328,-0.1285714912847038,0.037964793226069576,-0.29441617273477677
1993-12-14,0.0002908225642174434,0.07071135356867048,-0.20266693302598762,0.7164925896796648,11.130000114440918,0.013661254868690076,0.0405886475757387,-0.22928406386109507
1993-12-15,0.0003239455292987884,0.07023688506841035,-0.2109599688620922,0.8010013874683106,11.029999732971191,-0.008984760147484505,0.04006311226130156,-0.1674017244083335
1993-12-16,0.00025882968883742837,0.06906176509769749,-0.23747736662745453,0.9497303686613039,10.899999618530272,-0.011786048738724797,0.03993823108760523,-0.20399723021693641
1993-12-17,0.00031165744906711673,0.06997115700470379,-0.2211563648017031,0.8249644297883298,11.079999923706056,0.016513790043605203,0.04082884223235678,-0.23526453629689123
1993-12-20,0.0002967116495219934,0.07002548481108625,-0.21096370494795302,0.8103511705950339,10.75,-0.02978338682115056,0.037474515188913746,-0.22280653576369253
1993-12-21,0.00012584103548402006,0.0676505527238074,-0.2624925283560931,1.0125079853505738,10.079999923706056,-0.06232558849245984,0.03314944651325316,-0.2070934052610924
1993-12-22,0.00020778681532333172,0.0681783080062497,-0.29804246624995057,0.9262626110312953,9.3100004196167,-0.0763888402695797,0.024921696189917283,-0.23526684471300177
1993-12-23,0.0002612847040146367,0.06783335161238974,-0.3326947361900171,1.0165329818723654,9.479999542236328,0.01825984048952689,0.026966643809973545,-0.22656038205265167
1993-12-27,0.0004163885414607617,0.06884909106711253,-0.3647510426597995,0.9121293428232113,9.699999809265137,0.023206780343041133,0.028150907025538838,-0.2600238314661179
1993-12-28,0.00034542452178560175,0.0681594647620205,-0.3482038739723086,1.0234361298686734,9.81999969482422,0.012371122465844042,0.0300405321862217,-0.251519180438209
1993-12-29,0.0003305109597338834,0.06819620047070828,-0.3374317638797127,1.0100518704371124,10.460000038146973,0.06517315307658045,0.03640379991076145,-0.24239336277676019
1993-12-30,0.000266718324564595,0.06879666921647559,-0.30273302459252827,0.8719280227695387,10.6899995803833,0.021988483881217435,0.03810332658735742,-0.21852045883925417
1993-12-31,0.00020528313670097506,0.06949727108413796,-0.2755184630516361,0.7294123499870024,11.65999984741211,0.09073903696018926,0.04710272738998314,-0.20627468098690788
1994-01-03,0.0002256820982171134,0.06927160895592535,-0.285538714348332,0.7770481893997712,12.56999969482422,0.0780445848474074,0.056428387992316864,-0.20187436206926332
1994-01-04,0.00023655908356929337,0.06937426786715171,-0.2891639305087937,0.7597058895359439,11.90999984741211,-0.05250595572280481,0.04972573060696937,-0.2029631347422197
1994-01-05,0.00023947587923800337,0.06938597938299625,-0.29090879125725483,0.7579914229979807,10.9399995803833,-0.08144418803158737,0.04001401642083677,-0.20531908149146658
1994-01-06,0.0002154645216689384,0.06942385699804567,-0.27414551245686475,0.743626120640001,11.270000457763672,0.030164615177143306,0.04327614757959106,-0.20147062418618497
1994-01-07,0.0003009921507518134,0.07039878366412611,-0.28466277780442817,0.6080360003333105,10.960000038146973,-0.02750669095165359,0.03920121671734361,-0.2152517448642335
1994-01-10,0.0002986317257561267,0.07030304723428246,-0.29457738799037003,0.5920673013957853,10.739999771118164,-0.020073016994806903,0.037096950476899176,-0.22127083762512811
1994-01-11,0.00016355428909604834,0.06960046932921672,-0.2463588429055571,0.6655934969603745,11.289999961853027,0.05121044715605261,0.04329953028931355,-0.19858216090205646
1994-01-12,0.00020227561745831446,0.06942056962289728,-0.2722334680635337,0.7114130610835914,11.649999618530272,0.031886595030435894,0.047079426562405435,-0.20516574256873493
1994-01-13,0.0002223016228947528,0.06909417028832837,-0.275508174823187,0.7670676914009231,12.079999923706056,0.036909898648566086,0.0517058289487322,-0.21286748109388456
1994-01-14,0.00031315778262505113,0.06981748367404786,-0.3054556183462723,0.6634005581814213,11.149999618530272,-0.07698678071601073,0.04168251251125486,-0.22578124986417095
1994-01-17,0.00028196904993371273,0.07013248986661627,-0.28888433187118034,0.597541201819678,11.880000114440918,0.06547089873415346,0.04866751127779291,-0.22633241679404095
1994-01-18,0.0003904099177289344,0.06950190251544268,-0.3484364635401475,0.7368169752009157,11.630000114440918,-0.0210437708410548,0.0467980986289665,-0.2418317300051611
1994-01-19,0.00035874145015558277,0.06942235122890673,-0.3285931820183853,0.7437358982884539,11.760000228881836,0.011177997692321417,0.04817765105991162,-0.2395278775791096
1994-01-20,0.0003790308713416511,0.0694564323109004,-0.3418854883277764,0.742719802987942,11.15999984741211,-0.0510204396081696,0.042143566163220694,-0.24176640604409436
1994-01-21,0.00035878077743658603,0.06947951313716243,-0.32771464250587695,0.7315365761414059,11.09000015258789,-0.006272374173952211,0.04142048838871648,-0.2375740313495888
1994-01-24,0.00015040328307934443,0.0693356377440523,-0.28559219713836853,0.6860853900733663,11.600000381469728,0.04598739602026303,0.04666436607064499,-0.22001034352278093
1994-01-25,0.00010972172270137273,0.06950635804545582,-0.25811996399276477,0.6413016883085274,11.380000114440918,-0.01896553963741643,0.04429364309895335,-0.21384559949520635
1994-01-26,0.00014503632592449274,0.0699791002372282,-0.25968939942051356,0.5724668377615689,11.170000076293944,-0.01845343023155943,0.041720900525711244,-0.2211399378079255
1994-01-27,0.0003035541870593194,0.07176930403923412,-0.252943147790541,0.42264364943339494,10.300000190734863,-0.0778871870740161,0.031230697868114513,-0.25103516144432964
1994-01-28,0.000555064932147001,0.0675864574648955,-0.09776346394021213,0.29238364192983646,9.9399995803833,-0.034951514920882554,0.031813538338937505,-0.25190038901138045
1994-01-31,0.0008563270379330845,0.06323946887423414,0.233537774232616,-0.4567082405123277,10.630000114440918,0.06941655565251148,0.04306053227017505,-0.21427840839579082
1994-02-01,0.0007117137981885694,0.0635820348364865,0.29261796613835067,-0.4469452942406056,10.649999618530272,0.0018814208724404757,0.042917961348816216,-0.22505849461012323
1994-02-02,0.0007710204261685711,0.06416013610579788,0.26001166377445795,-0.5335994283556653,10.609999656677246,-0.003755865097255784,0.04193986046097459,-0.24464950490584447
1994-02-03,0.0007220094247998478,0.06454193751380242,0.2814771058999753,-0.5697018234618993,10.75,0.013195131748628075,0.042958062486197574,-0.23115130223847277
1994-02-04,0.00021745713367580106,0.07939807601630967,-1.3909194336869393,6.008177332619825,15.25,0.4186046511627908,0.07310192398369032,-0.36194745024919617
