Price,Close,log_return,vol_20d,vol_60d,vol_120d
Ticker,^GSPC,,,,
Date,,,,,
1993-06-24,446.6199951171875,0.0077095327635902785,0.005083172336008996,0.006237865922956039,0.006346548352290763
1993-06-25,447.6000061035156,0.002191879799934849,0.005111070768113854,0.006245145130204729,0.006344537024161965
1993-06-28,451.8500061035156,0.009450289781936532,0.005460302660503072,0.006354441455759053,0.006399876497917843
1993-06-29,450.69000244140625,-0.00257053269631751,0.005163170807417957,0.005796711129545625,0.00635078212038979
1993-06-30,450.5299987792969,-0.000355082362960886,0.005162350222092509,0.005793119698289915,0.0063389057196696005
1993-07-01,449.0199890136719,-0.0033572590838001157,0.00517251841789631,0.005800733341781925,0.006337297294235463
1993-07-02,445.8399963378906,-0.0071072706653954616,0.005273506070075617,0.005862168436799078,0.006373679635323659
1993-07-06,441.42999267578125,-0.009940694562158417,0.005590644642221255,0.005998737755245515,0.0064288307828781885
1993-07-07,442.8299865722656,0.0031664784092974583,0.005469003563064784,0.00569765660141483,0.006406698995821552
1993-07-08,448.6400146484375,0.013034898162465662,0.006203885272359267,0.005943525220337699,0.006509924644466429
1993-07-09,448.1099853515625,-0.0011821117559997433,0.006207148009016275,0.005943303036446872,0.006510632452121207
1993-07-12,448.9800109863281,0.0019396624889171255,0.006152427251173415,0.005948182576840421,0.006501335436847734
1993-07-13,448.0899963378906,-0.0019842708666979437,0.006167920509746175,0.005951681726902209,0.006492536574793882
1993-07-14,450.0799865722656,0.004431217984289825,0.006192106044510668,0.0059633795711292615,0.006489992662731032
1993-07-15,449.2200012207031,-0.0019125667194078541,0.006190981210863325,0.005927526331341342,0.00649217603386537
1993-07-16,445.75,-0.007754491444782753,0.006411666150899108,0.005998902810286822,0.006483613967518512
1993-07-19,446.0299987792969,0.0006279548518268607,0.005908688066936742,0.005867366018300152,0.006483747308760751
1993-07-20,447.30999755859375,0.0028656494962368737,0.005804088845933979,0.0058269690666657254,0.006476366671948303
1993-07-21,447.17999267578125,-0.0002906793483375567,0.005802128288995508,0.005722505388346735,0.006475734544270005
1993-07-22,444.510009765625,-0.00598860788480757,0.005792257500733219,0.005637490784152488,0.006500000602816999
1993-07-23,447.1000061035156,0.0058097230331099065,0.005676151482062941,0.005682935372253081,0.006475542614078204
1993-07-26,449.0899963378906,0.004441008044261348,0.005742633292231954,0.0057037808251440975,0.006487734837057702
1993-07-27,448.239990234375,-0.0018945234651095383,0.005322223253863829,0.005701054065807817,0.00642008145754623
1993-07-28,447.19000244140625,-0.0023452157796919376,0.005317625831379484,0.0056751789085453695,0.006405410759135633
1993-07-29,450.239990234375,0.006797186545464813,0.005555271075499317,0.005722800975292623,0.006434467551292606
1993-07-30,448.1300048828125,-0.004697372447474845,0.0056053439272093775,0.005756833134054966,0.006445123133303574
1993-08-02,450.1499938964844,0.004497467206909068,0.005439913690750718,0.005770500498915513,0.006436918959098742
1993-08-03,449.2699890136719,-0.001956828134444963,0.004901150091629373,0.005769220057572937,0.006437137288218273
1993-08-04,448.5400085449219,-0.0016261361125259005,0.004900647881081478,0.005773208961371985,0.006432409572300346
1993-08-05,448.1300048828125,-0.0009145029599381798,0.003942888479699655,0.005758574923233056,0.006401422396632358
1993-08-06,448.67999267578125,0.0012265426643690979,0.003943495169810249,0.005759247810799365,0.005996469198020393
