Date,kmeans_regime,gmm_regime,gmm_prob_0,gmm_prob_1,gmm_prob_2
1993-09-02,0,1,1.4252358864434564e-18,1.0,7.250655088889158e-23
1993-09-03,0,1,5.221153771942276e-18,1.0,3.012983876952669e-23
1993-09-07,0,1,3.0201069589224826e-18,1.0,5.80377747195744e-24
1993-09-08,0,1,4.2078477224565715e-17,1.0,8.029611465661571e-23
1993-09-09,0,1,4.1462005405865327e-17,1.0,3.9277113847758814e-23
1993-09-10,0,1,2.7423869730867693e-17,1.0,1.3777757784285327e-24
1993-09-13,0,1,2.7940158711784126e-17,1.0,7.84191297027608e-27
1993-09-14,0,1,9.152117414210646e-17,1.0,8.62662519237565e-27
1993-09-15,0,1,4.0733895196403027e-16,1.0,9.652456460443204e-26
1993-09-16,0,1,9.421539829967871e-16,1.0,3.8551073270936864e-27
1993-09-17,0,1,8.106071986859974e-15,0.9999999999999929,2.5697849976559035e-26
1993-09-20,0,1,7.85861971742648e-15,0.9999999999999929,1.6840264979816823e-26
1993-09-21,0,1,4.815514343557514e-14,0.9999999999999503,8.591252144126665e-26
1993-09-22,0,1,6.180554810254103e-12,0.99999999999382,7.230828567755903e-23
1993-09-23,0,1,9.246961292699861e-14,0.9999999999999076,9.441133638218398e-29
1993-09-24,0,1,2.93611973627351e-13,0.9999999999997051,1.6026226708617261e-29
1993-09-27,0,1,2.4258823865646107e-13,0.9999999999997584,3.825022458367152e-30
1993-09-28,0,1,3.1499378192631877e-13,0.9999999999996838,1.84079256296505e-30
1993-09-29,0,1,2.8997962004690497e-13,0.9999999999997087,3.18067303816754e-30
1993-09-30,0,1,6.296275709648047e-13,0.9999999999993712,7.415679986823933e-29
1993-10-01,0,1,6.190739019513073e-13,0.9999999999993818,4.395603024083703e-28
1993-10-04,0,1,7.715453246256137e-14,0.9999999999999218,4.234010444128727e-30
1993-10-05,0,1,4.4013480853640023e-13,0.9999999999995595,3.666539858085558e-29
1993-10-06,0,1,3.2398398543947247e-13,0.9999999999996767,1.0739934810853133e-29
1993-10-07,0,1,3.4021776849625443e-13,0.9999999999996589,1.765603410712588e-30
1993-10-08,0,1,8.918158415796691e-13,0.9999999999991083,8.668132883311895e-30
1993-10-11,0,1,1.1082112200680932e-12,0.9999999999988916,1.3522923065207448e-30
1993-10-12,0,1,4.398848042832849e-12,0.9999999999956017,2.3266529348993954e-30
1993-10-13,0,1,1.2545649058853301e-11,0.9999999999874554,1.3349847475220377e-30
1993-10-14,0,1,1.512634959650548e-11,0.9999999999848725,3.8941447887431586e-31
1993-10-15,0,1,1.6428467450177192e-11,0.9999999999835723,7.85687838645224e-32
1993-10-18,0,1,2.537205850313913e-11,0.9999999999746265,1.429605631116531e-32
1993-10-19,0,1,4.867542154442197e-11,0.9999999999513243,3.618678252399181e-32
1993-10-20,0,1,1.016923778977916e-10,0.9999999998983071,1.7392731650039912e-31
1993-10-21,0,1,3.004476574858255e-11,0.9999999999699547,7.133964109025538e-31
1993-10-22,0,1,1.8546836260231252e-11,0.9999999999814548,4.535129732819094e-30
1993-10-25,0,1,2.9026059088433426e-11,0.9999999999709743,3.465303915222731e-29
1993-10-26,0,1,2.150767238937095e-11,0.9999999999784919,1.5627308290261047e-27
1993-10-27,0,1,1.217807913804395e-11,0.9999999999878213,2.8353071802752923e-27
1993-10-28,0,1,9.295779302059584e-12,0.9999999999907025,4.4579609693440526e-27
1993-10-29,0,1,5.253308318106278e-12,0.9999999999947455,1.9148343307762022e-28
1993-11-01,0,1,2.7508010791988865e-12,0.9999999999972502,8.996678313321224e-28
1993-11-02,0,1,2.332882415709484e-12,0.9999999999976659,3.9088042666885718e-28
1993-11-03,0,1,1.6212324250231634e-12,0.99999999999838,3.3635348305744684e-28
1993-11-04,0,1,1.5196168171980062e-10,0.9999999998480398,3.0231957953491094e-28
1993-11-05,0,1,2.4400769753345362e-09,0.9999999975599216,3.2799828932308706e-28
1993-11-08,0,1,1.4836809686034243e-08,0.9999999851631891,5.41840625827812e-28
1993-11-09,0,1,1.4629784235638881e-08,0.9999999853702164,1.0353749741515318e-28
1993-11-10,0,1,2.0758799272203464e-08,0.9999999792411993,8.030368476422073e-29
1993-11-11,0,1,4.258314633312472e-08,0.999999957416855,8.089443280013269e-29
1993-11-12,0,1,6.411430677937253e-07,0.9999993588569319,1.7363873826035112e-27
1993-11-15,0,1,1.3300886059184658e-06,0.9999986699113953,1.0252067635088866e-26
1993-11-16,0,1,1.434031332490985e-05,0.9999856596866763,1.8389600914080398e-25
1993-11-17,0,1,0.00014983773807972044,0.9998501622619215,1.8789367923657535e-24
1993-11-18,0,1,0.00025773565972861135,0.9997422643402706,6.701357969898924e-24
1993-11-19,0,1,6.768335725129201e-05,0.9999323166427477,2.704952923525533e-24
1993-11-22,0,1,0.0001471794281937686,0.9998528205718058,4.705577504710603e-24
1993-11-23,0,1,0.00014451772592435322,0.9998554822740757,1.930642426851602e-23
1993-11-24,0,1,1.0826387149394736e-05,0.9999891736128499,1.6628955810117497e-24
1993-11-26,0,1,2.785736018186803e-06,0.9999972142639818,6.790900711323743e-25
1993-11-29,0,1,2.9116179928783328e-06,0.9999970883820065,2.6137313017102477e-24
1993-11-30,0,1,2.1383644230293407e-06,0.9999978616355759,9.885968716423149e-24
1993-12-01,0,1,1.1180026552852793e-06,0.9999988819973457,2.4279999482683777e-23
1993-12-02,0,1,1.3686033491345034e-06,0.9999986313966525,2.954331626021733e-23
1993-12-03,0,1,9.082322430706841e-07,0.9999990917677554,6.540010160693355e-24
1993-12-06,0,1,4.902636056635739e-07,0.9999995097363936,4.8803893795093235e-25
1993-12-07,0,1,6.021894201575734e-07,0.99999939781058,1.161249825055755e-25
1993-12-08,0,1,3.103852306540442e-08,0.9999999689614758,4.155484592274128e-27
1993-12-09,0,1,1.4490145404148128e-08,0.9999999855098558,2.7030654478076543e-27
1993-12-10,0,1,2.424570433191929e-08,0.9999999757542962,2.1518320807661722e-26
1993-12-13,0,1,3.377681575482467e-08,0.9999999662231828,1.0523627883990878e-25
1993-12-14,1,1,7.953368574085027e-09,0.9999999920466323,4.500777939654875e-26
1993-12-15,1,1,7.67459667408885e-08,0.9999999232540334,1.856655807353568e-24
1993-12-16,1,1,2.077035176588268e-08,0.9999999792296494,8.073485553144266e-24
1993-12-17,1,1,6.584287654201406e-09,0.9999999934157131,6.204200404286691e-24
1993-12-20,1,1,9.984033755060083e-10,0.9999999990015951,1.432617110380861e-24
1993-12-21,1,1,1.0507959862265897e-09,0.9999999989492032,1.9102622991219217e-24
1993-12-22,0,1,3.7368170882871434e-09,0.9999999962631829,1.496849410382049e-22
