Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1993-09-02,0.76028484,-0.92412937,-0.009925261,0.034996543,-0.12077821,-0.1021782,0.6810383,-0.6332117,-0.14205322,0.31581733,-0.76083374,-0.30620164,0.36455333,0.9149916,-0.5080909,0.06778707
1993-09-03,0.7577697,-0.9267693,-0.012095363,0.032251727,-0.1294069,-0.0976244,0.6834694,-0.64102054,-0.14516467,0.31791526,-0.7702884,-0.2951726,0.3596197,0.9203641,-0.5263138,0.082820676
1993-09-07,0.7748689,-0.9279175,-0.018948868,0.014952122,-0.12358292,-0.10725747,0.6988734,-0.6461462,-0.15812889,0.3168169,-0.77554345,-0.3191279,0.36571053,0.92757195,-0.5148472,0.082401454
1993-09-08,0.7592723,-0.9242971,-0.0038848245,0.023663241,-0.13868327,-0.07390483,0.6439118,-0.64547074,-0.13967504,0.30782855,-0.7683081,-0.27756712,0.36034635,0.9104436,-0.56258637,0.1055177
1993-09-09,0.77281684,-0.9209809,0.020676067,0.024855139,-0.13128506,-0.06325463,0.6305165,-0.6474695,-0.11406834,0.27530122,-0.7685044,-0.25413033,0.35515264,0.9047612,-0.57966334,0.11178961
1993-09-10,0.8002723,-0.92103183,0.041456267,0.015137645,-0.10710612,-0.060243566,0.637821,-0.6512261,-0.09843356,0.24051698,-0.7728639,-0.2631451,0.35795894,0.9092671,-0.5789889,0.11206928
1993-09-13,0.81112117,-0.9238177,0.051262233,0.005522066,-0.0752188,-0.060683127,0.64731145,-0.65109944,-0.08595436,0.20671163,-0.78248596,-0.29602134,0.36831927,0.9084508,-0.57249,0.109547146
1993-09-14,0.80934817,-0.92679334,0.050876856,0.0022691737,-0.07166982,-0.046360005,0.6410028,-0.6555475,-0.0758159,0.19148746,-0.7826317,-0.28602645,0.369899,0.9063741,-0.5872457,0.12822416
1993-09-15,0.80899334,-0.92692876,0.053100757,0.0038146235,-0.07451658,-0.032095768,0.6167941,-0.6574052,-0.059843175,0.16897649,-0.7762207,-0.25587204,0.3619982,0.8992604,-0.61183417,0.15015028
1993-09-16,0.82025653,-0.9269971,0.048605036,0.0032382028,-0.05186823,-0.031790175,0.6285784,-0.6604028,-0.04718584,0.14080928,-0.7826748,-0.26220784,0.35598415,0.9044016,-0.6135994,0.1632469
1993-09-17,0.8277408,-0.92841315,0.043898907,0.0038280704,-0.04909873,-0.02491077,0.61946005,-0.6607825,-0.03848291,0.1213966,-0.77610195,-0.24513356,0.34541455,0.9053679,-0.63049895,0.19417547
1993-09-20,0.83797324,-0.9286851,0.049698897,-0.014990612,-0.036037132,-0.037560668,0.6144424,-0.66644955,-0.03394263,0.097447045,-0.77485067,-0.24018468,0.3361331,0.90641207,-0.64603484,0.20421669
1993-09-21,0.8371865,-0.9272565,0.0677872,-0.019346042,-0.034949392,-0.029994167,0.56926054,-0.6571497,-0.019703854,0.07377187,-0.7672969,-0.21167658,0.32214224,0.89937365,-0.68308735,0.22290216
1993-09-22,0.82193017,-0.93056834,0.07465392,-0.017777242,-0.060066417,-0.01632048,0.5295888,-0.6533584,-0.016486079,0.058539584,-0.7575188,-0.1612951,0.30466527,0.896292,-0.73374873,0.27592006
1993-09-23,0.86356425,-0.9266971,0.09632329,-0.052619122,0.026810396,-0.044426516,0.5494217,-0.66734344,-0.018862693,0.005871474,-0.77274644,-0.24581023,0.31811845,0.9159924,-0.7047281,0.22618687
1993-09-24,0.86371285,-0.9318211,0.099738955,-0.06014534,0.04795614,-0.047547407,0.54025465,-0.6554813,-0.027393064,-0.013802058,-0.7710625,-0.2709756,0.3198453,0.9200064,-0.710884,0.23108888
1993-09-27,0.8694024,-0.93157196,0.09741778,-0.07829843,0.08093282,-0.059001364,0.5364033,-0.6508089,-0.03682402,-0.03255193,-0.76732224,-0.29750174,0.3193321,0.92409414,-0.70257384,0.22103488
1993-09-28,0.85337174,-0.9333298,0.0895572,-0.085458726,0.09008773,-0.059747566,0.522969,-0.6491577,-0.046825312,-0.04069278,-0.7667336,-0.303876,0.31601977,0.92014843,-0.70901203,0.22030002
1993-09-29,0.85117674,-0.93265915,0.073938124,-0.09716049,0.10460654,-0.06906437,0.5192308,-0.6498091,-0.05837092,-0.04938473,-0.76282984,-0.30633414,0.3088682,0.92210585,-0.70332444,0.21752854
1993-09-30,0.84296924,-0.9333658,0.05286074,-0.10664284,0.09847575,-0.07633399,0.50741476,-0.65387964,-0.07285659,-0.054934364,-0.7559763,-0.28733632,0.29375222,0.9231859,-0.70609576,0.22851716
1993-10-01,0.83325124,-0.93214947,0.032411013,-0.121317245,0.09582658,-0.08733292,0.49794492,-0.6527696,-0.08304404,-0.062053252,-0.7520008,-0.26839212,0.2783965,0.9205715,-0.7120278,0.23211326
1993-10-04,0.83499163,-0.9280728,0.017252892,-0.13687658,0.14084542,-0.10333818,0.50617045,-0.63735646,-0.079733565,-0.076499276,-0.7564743,-0.288685,0.27706018,0.9148513,-0.70430714,0.20666304
1993-10-05,0.8158647,-0.9296443,0.0015823665,-0.13212694,0.12535778,-0.08730095,0.48557842,-0.63448876,-0.07743343,-0.08443313,-0.7534069,-0.25671363,0.2629406,0.9082362,-0.71768636,0.22990677
1993-10-06,0.8101183,-0.9263509,-0.011174741,-0.1352781,0.13362467,-0.08450985,0.49243203,-0.6314593,-0.067657135,-0.09547953,-0.7568457,-0.24136093,0.25286466,0.9022507,-0.72092444,0.2404758
1993-10-07,0.8119199,-0.92482895,-0.025210638,-0.13599324,0.15102677,-0.080827475,0.5075167,-0.6266283,-0.05924095,-0.109962784,-0.7615989,-0.23863003,0.24575084,0.9016247,-0.7166869,0.24805777
1993-10-08,0.8058756,-0.9271491,-0.040923677,-0.13685514,0.14852212,-0.06974757,0.51336783,-0.6232745,-0.053585317,-0.11943685,-0.7602266,-0.22491197,0.23678078,0.90073943,-0.7156389,0.26664612
1993-10-11,0.8286672,-0.9237941,-0.058137104,-0.14328918,0.18359685,-0.07206652,0.5394964,-0.61625564,-0.050200406,-0.13553241,-0.7623995,-0.24268955,0.23220955,0.9114979,-0.69649297,0.26232025
1993-10-12,0.82236034,-0.9258292,-0.07513595,-0.13771972,0.1849139,-0.056280445,0.5416395,-0.6117695,-0.048080508,-0.14442393,-0.761702,-0.23893458,0.2227952,0.91049016,-0.69578844,0.28089204
1993-10-13,0.817511,-0.9238129,-0.085428715,-0.1318084,0.18773738,-0.041502234,0.5471405,-0.61285305,-0.043389764,-0.15313923,-0.7635812,-0.23243327,0.21365948,0.9086497,-0.69608754,0.30169308
1993-10-14,0.83417684,-0.9218985,-0.096274614,-0.14122978,0.21878083,-0.04087832,0.56962293,-0.6116868,-0.04101794,-0.15914817,-0.7644667,-0.258328,0.21031769,0.9134363,-0.6729256,0.2968381
1993-10-15,0.8226894,-0.92295855,-0.11321045,-0.14206114,0.23948267,-0.039839845,0.58031476,-0.62049484,-0.031541392,-0.15944634,-0.7657541,-0.27325803,0.20231673,0.89997476,-0.6649694,0.3108259
1993-10-18,0.81190884,-0.92350805,-0.12110838,-0.13755256,0.25631323,-0.0322697,0.58556837,-0.6277605,-0.01609743,-0.15945995,-0.7714972,-0.27311176,0.19381556,0.8932801,-0.6637307,0.32104075
1993-10-19,0.7896874,-0.93163925,-0.14891598,-0.12747279,0.23869954,-0.03754427,0.6067801,-0.63960314,-0.017217152,-0.15671387,-0.7760599,-0.25386143,0.18090078,0.88697225,-0.6635233,0.36322665
1993-10-20,0.76975834,-0.93552864,-0.17337252,-0.13828366,0.21791865,-0.04925141,0.64465284,-0.65521747,-0.040062036,-0.13258603,-0.7826926,-0.24691004,0.1843978,0.90691775,-0.66014516,0.3946736
1993-10-21,0.7768334,-0.9318364,-0.19337745,-0.15277031,0.21430896,-0.06841233,0.6585405,-0.65931576,-0.047917567,-0.11784708,-0.7763238,-0.25377333,0.17853588,0.9033195,-0.64721894,0.40381527
1993-10-22,0.77969605,-0.93089646,-0.21183,-0.1629299,0.20878214,-0.08758913,0.67104745,-0.6668888,-0.05408223,-0.10527523,-0.774835,-0.2516321,0.16222829,0.9028905,-0.6391196,0.41491514
1993-10-25,0.7691407,-0.93266016,-0.22867116,-0.1659017,0.19304872,-0.10330527,0.6829274,-0.67167634,-0.06577033,-0.08628103,-0.77739227,-0.24290746,0.1432342,0.9086451,-0.63864875,0.42874876
